161031 11:16:12	   50 Connect	root@localhost as anonymous on 
		   51 Query	SELECT session_value FROM wp_woocommerce_sessions WHERE session_key = '2'
		   51 Query	SELECT option_value FROM wp_options WHERE option_name = 'nonce_key' LIMIT 1
		   51 Query	SELECT option_value FROM wp_options WHERE option_name = 'nonce_salt' LIMIT 1
		   51 Query	SELECT option_value FROM wp_options WHERE option_name = 'woocommerce_permalinks' LIMIT 1
		   51 Query	SELECT * FROM wp_posts WHERE ID = 4 LIMIT 1
		   51 Query	SELECT option_value FROM wp_options WHERE option_name = 'theme_switched' LIMIT 1
		   51 Query	SELECT * FROM wp_posts WHERE ID = 9 LIMIT 1
		   51 Query	SELECT t.*, tt.* FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON tt.term_id = t.term_id INNER JOIN wp_term_relationships AS tr ON tr.term_taxonomy_id = tt.term_taxonomy_id  WHERE tt.taxonomy IN ('product_type') AND tr.object_id IN (9) ORDER BY t.name ASC
		   51 Query	SELECT term_id, meta_key, meta_value FROM wp_termmeta WHERE term_id IN (2) ORDER BY meta_id ASC
		   51 Query	SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN (9) ORDER BY meta_id ASC
161031 11:16:37	   51 Query	SELECT umeta_id FROM wp_usermeta WHERE meta_key = '_woocommerce_persistent_cart' AND user_id = 2
		   51 Query	SHOW FULL COLUMNS FROM `wp_usermeta`
		   51 Query	UPDATE `wp_usermeta` SET `meta_value` = 'a:1:{s:4:\"cart\";a:1:{s:32:\"45c48cce2e2d7fbdea1afc51c7c6ad26\";a:9:{s:10:\"product_id\";i:9;s:12:\"variation_id\";i:0;s:9:\"variation\";a:0:{}s:8:\"quantity\";i:1;s:10:\"line_total\";d:100;s:8:\"line_tax\";i:0;s:13:\"line_subtotal\";d:100;s:17:\"line_subtotal_tax\";i:0;s:13:\"line_tax_data\";a:2:{s:5:\"total\";a:0:{}s:8:\"subtotal\";a:0:{}}}}}' WHERE `user_id` = 2 AND `meta_key` = '_woocommerce_persistent_cart'
		   51 Query	SELECT * FROM wp_posts WHERE ID = 5 LIMIT 1
		   51 Query	SELECT   wp_posts.* FROM wp_posts  WHERE 1=1  AND wp_posts.post_name = 'tp1' AND wp_posts.post_type = 'product'  ORDER BY wp_posts.post_date DESC
		   51 Query	SELECT t.*, tt.*, tr.object_id FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON tt.term_id = t.term_id INNER JOIN wp_term_relationships AS tr ON tr.term_taxonomy_id = tt.term_taxonomy_id  WHERE tt.taxonomy IN ('product_type', 'product_cat', 'product_tag', 'product_shipping_class') AND tr.object_id IN (9) ORDER BY t.name ASC
		   51 Query	SELECT user_id, meta_key, meta_value FROM wp_usermeta WHERE user_id IN (2) ORDER BY umeta_id ASC
		   51 Query	SELECT option_value FROM wp_options WHERE option_name = 'woocommerce_lock_down_admin' LIMIT 1
		   51 Query	SELECT option_value FROM wp_options WHERE option_name = 'woocommerce_review_rating_required' LIMIT 1
		   51 Query	SELECT option_value FROM wp_options WHERE option_name = 'can_compress_scripts' LIMIT 1
		   51 Query	SELECT p.ID FROM wp_posts AS p  WHERE p.post_date < '2016-10-25 18:21:52' AND p.post_type = 'product'  AND ( p.post_status = 'publish' OR (p.post_author = 2 AND p.post_status = 'private') ) ORDER BY p.post_date DESC LIMIT 1
		   51 Query	SELECT p.ID FROM wp_posts AS p  WHERE p.post_date > '2016-10-25 18:21:52' AND p.post_type = 'product'  AND ( p.post_status = 'publish' OR (p.post_author = 2 AND p.post_status = 'private') ) ORDER BY p.post_date ASC LIMIT 1
		   51 Query	SELECT * FROM wp_posts WHERE ID = 22 LIMIT 1
		   51 Query	SELECT t.*, tt.* FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON tt.term_id = t.term_id INNER JOIN wp_term_relationships AS tr ON tr.term_taxonomy_id = tt.term_taxonomy_id  WHERE tt.taxonomy IN ('product_cat') AND tr.object_id IN (9) ORDER BY t.name DESC
		   51 Query	SELECT * FROM wp_users WHERE ID = '1'
		   51 Query	SELECT user_id, meta_key, meta_value FROM wp_usermeta WHERE user_id IN (1) ORDER BY umeta_id ASC
		   51 Query	SELECT SQL_CALC_FOUND_ROWS wp_comments.comment_ID FROM wp_comments  LEFT JOIN wp_posts ON comment_post_ID = wp_posts.ID  WHERE ( ( comment_approved = '1' ) OR ( user_id = 2 AND comment_approved = '0' ) ) AND comment_post_ID = 9 AND comment_parent = 0 AND  wp_posts.post_type NOT IN ('shop_order','shop_order_refund')  AND  wp_posts.post_type <> 'shop_webhook'   ORDER BY wp_comments.comment_date_gmt ASC, wp_comments.comment_ID ASC
		   51 Query	SELECT option_value FROM wp_options WHERE option_name = 'woocommerce_review_rating_verification_required' LIMIT 1
		   51 Query	SELECT * FROM wp_posts WHERE ID = 7 LIMIT 1
		   51 Query	SELECT option_value FROM wp_options WHERE option_name = '_transient_timeout_wc_related_9' LIMIT 1
		   51 Query	SELECT option_value FROM wp_options WHERE option_name = '_transient_wc_related_9' LIMIT 1
		   51 Query	SELECT t.*, tt.* FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON tt.term_id = t.term_id INNER JOIN wp_term_relationships AS tr ON tr.term_taxonomy_id = tt.term_taxonomy_id  WHERE tt.taxonomy IN ('product_tag') AND tr.object_id IN (9) ORDER BY t.name ASC
		   51 Query	SELECT t.*, tt.* FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON tt.term_id = t.term_id INNER JOIN wp_term_relationships AS tr ON tr.term_taxonomy_id = tt.term_taxonomy_id  WHERE tt.taxonomy IN ('product_cat') AND tr.object_id IN (9) ORDER BY t.name ASC
		   51 Query	SHOW FULL COLUMNS FROM `wp_options`
		   51 Query	UPDATE `wp_options` SET `option_value` = '1478024197' WHERE `option_name` = '_transient_timeout_wc_related_9'
		   51 Query	SELECT   wp_posts.ID FROM wp_posts  WHERE 1=1  AND wp_posts.post_type = 'post' AND ((wp_posts.post_status = 'publish'))  ORDER BY wp_posts.post_date DESC LIMIT 0, 5
		   51 Query	SELECT wp_posts.* FROM wp_posts WHERE ID IN (1)
		   51 Query	SELECT t.*, tt.*, tr.object_id FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON tt.term_id = t.term_id INNER JOIN wp_term_relationships AS tr ON tr.term_taxonomy_id = tt.term_taxonomy_id  WHERE tt.taxonomy IN ('category', 'post_tag', 'post_format') AND tr.object_id IN (1) ORDER BY t.name ASC
		   51 Query	SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN (1) ORDER BY meta_id ASC
		   51 Query	SELECT  wp_comments.comment_ID FROM wp_comments JOIN wp_posts ON wp_posts.ID = wp_comments.comment_post_ID WHERE ( comment_approved = '1' ) AND  wp_posts.post_status IN ('publish') AND  wp_posts.post_type NOT IN ('shop_order','shop_order_refund')  AND  wp_posts.post_type <> 'shop_webhook'   ORDER BY wp_comments.comment_date_gmt DESC LIMIT 5
		   51 Query	SELECT wp_comments.* FROM wp_comments WHERE comment_ID IN (1)
		   51 Query	SELECT comment_id, meta_key, meta_value FROM wp_commentmeta WHERE comment_id IN (1) ORDER BY meta_id ASC
		   51 Query	SELECT YEAR(post_date) AS `year`, MONTH(post_date) AS `month`, count(ID) as posts FROM wp_posts  WHERE post_type = 'post' AND post_status = 'publish' GROUP BY YEAR(post_date), MONTH(post_date) ORDER BY post_date DESC
		   51 Query	SELECT  t.*, tt.* FROM wp_terms AS t  INNER JOIN wp_term_taxonomy AS tt ON t.term_id = tt.term_id WHERE tt.taxonomy IN ('category') AND tt.count > 0 ORDER BY t.name ASC
		   51 Query	SELECT term_id, meta_key, meta_value FROM wp_termmeta WHERE term_id IN (1) ORDER BY meta_id ASC
		   51 Query	SHOW FULL COLUMNS FROM `wp_woocommerce_sessions`
